zip_code,week_number,cases_cumulative,case_rate_cumulative,deaths_cumulative,death_rate_cumulative,population
60653,33,7595,23755.2,100,312.8,31972
60653,34,7638,23889.7,100,312.8,31972
60653,35,7684,24033.5,100,312.8,31972
60653,36,7718,24139.9,100,312.8,31972
60653,37,7759,24268.1,100,312.8,31972
60653,38,7787,24355.7,101,315.9,31972
60653,39,7809,24424.5,101,315.9,31972
60653,4,6149,19232.5,94,294,31972
60653,40,7856,24571.5,101,315.9,31972
60653,43,7973,24937.4,102,319,31972
60666,1,18,0,0,0,0
60666,13,12,0,0,0,0
60666,11,12,0,0,0,0
60666,14,12,0,0,0,0
60666,6,8,0,0,0,0
60666,8,8,0,0,0,0
60666,18,12,0,0,0,0
60666,17,12,0,0,0,0
60666,20,12,0,0,0,0
60666,9,8,0,0,0,0
60666,16,12,0,0,0,0
60666,2,12,0,0,0,0
60666,21,13,0,0,0,0
60666,15,12,0,0,0,0
60666,12,12,0,0,0,0
60666,10,12,0,0,0,0
60666,22,13,0,0,0,0
60666,19,12,0,0,0,0
60666,7,8,0,0,0,0
60602,27,409,32877.8,3,241.2,1244
60602,28,416,33440.5,3,241.2,1244
60602,29,418,33601.3,3,241.2,1244
60602,3,315,25321.5,3,241.2,1244
60602,30,419,33681.7,3,241.2,1244
60602,31,420,33762.1,3,241.2,1244
60602,32,420,33762.1,3,241.2,1244
60602,33,422,33922.8,3,241.2,1244
60602,34,424,34083.6,3,241.2,1244
60602,35,426,34244.4,3,241.2,1244
60602,36,427,34324.8,3,241.2,1244
60602,37,429,34485.5,3,241.2,1244
60653,44,8027,25106.3,102,319,31972
60653,45,8064,25222.1,102,319,31972
60653,46,8111,25369.1,102,319,31972
60653,48,8191,25619.3,103,322.2,31972
60653,49,8250,25803.8,103,322.2,31972
60653,50,8321,26025.9,103,322.2,31972
60653,51,8372,26185.4,103,322.2,31972
60602,39,434,34887.5,3,241.2,1244
60602,4,320,25723.5,3,241.2,1244
60602,40,440,35369.8,3,241.2,1244
60602,43,447,35932.5,3,241.2,1244
60602,44,450,36173.6,3,241.2,1244
60602,45,454,36495.2,3,241.2,1244
60602,49,459,36897.1,3,241.2,1244
60602,5,324,26045,3,241.2,1244
60602,51,469,37701,3,241.2,1244
60602,52,471,37861.7,3,241.2,1244
60602,6,326,26205.8,3,241.2,1244
60602,7,328,26366.6,3,241.2,1244
60602,9,328,26366.6,3,241.2,1244
60653,52,8418,26329.3,103,322.2,31972
60653,8,6221,19457.7,99,309.6,31972
60653,9,6233,19495.2,99,309.6,31972
60653,10,8806,27542.8,103,322.2,31972
60653,11,8832,27624.2,103,322.2,31972
60653,15,9575,29948.1,104,325.3,31972
60653,16,9582,29970,104,325.3,31972
60827,16,1322,4626.1,19,66.5,28577
60653,18,8937,27952.6,103,322.2,31972
60653,19,8964,28037,103,322.2,31972
60653,20,8968,28049.5,103,322.2,31972
60645,17,15428,32322.1,161,337.3,47732
60707,17,6254,14537.8,68,158.1,43019
60655,17,9035,31367.2,55,190.9,28804
60666,17,23,0,0,0,0
60656,17,9173,33260.8,86,311.8,27579
60661,17,3200,32238.6,2,20.1,9926
60643,17,14626,29328.3,220,441.1,49870
Unknown,17,4657,0,13,0,0
60653,17,9582,29970,104,325.3,31972
60649,17,11731,25488.9,230,499.7,46024
60654,17,6273,32782.9,9,47,19135
60644,17,13714,28743.3,222,465.3,47712
60647,17,25189,28784.5,201,229.7,87509
60651,17,19236,30428,191,302.1,63218
60652,17,13970,31817.3,147,334.8,43907
60657,17,20233,28882.8,68,97.1,70052
60660,17,11920,27565.8,111,256.7,43242
60634,17,27000,35528.7,265,348.7,75995
60601,17,5824,39686.5,15,102.2,14675
60622,17,15842,30007.8,107,202.7,52793
60630,17,17922,31253.5,207,361,57344
60611,17,9942,30660.6,31,95.6,32426
60602,17,509,40916.4,3,241.2,1244
60631,17,10642,36039.1,147,497.8,29529
60603,17,458,39011.9,0,0,1174
60623,17,26428,30737.7,342,397.8,85979
60617,17,21665,26249.8,264,319.9,82534
60642,17,5867,29043.1,31,153.5,20201
60604,17,504,64450.1,0,0,782
60638,17,19752,33593.6,211,358.9,58797
60641,17,23151,32596.5,208,292.9,71023
60609,17,18256,29687,234,380.5,61495
60614,17,20279,28438.6,126,176.7,71308
60618,17,26840,28433.7,185,196,94395
60624,17,10321,28544.2,120,331.9,36158
60636,17,9616,29860.6,168,521.7,32203
60608,17,21805,27529.8,206,260.1,79205
60606,17,1311,42276.7,11,354.7,3101
60646,17,9576,34215.9,107,382.3,27987
60827,17,1323,4629.6,19,66.5,28577
60639,17,31160,34424.5,320,353.5,90517
60659,17,12918,31455.1,138,336,41068
60613,17,14255,28445.7,72,143.7,50113
60628,17,17622,26410.3,328,491.6,66724
60633,17,3375,26221.7,30,233.1,12871
60666,31,13,0,0,0,0
60666,37,15,0,0,0,0
60666,23,13,0,0,0,0
60666,27,13,0,0,0,0
60666,30,13,0,0,0,0
60666,35,13,0,0,0,0
60666,24,13,0,0,0,0
60666,28,13,0,0,0,0
60666,38,15,0,0,0,0
60666,3,12,0,0,0,0
60666,25,13,0,0,0,0
60666,34,13,0,0,0,0
60666,39,15,0,0,0,0
60666,33,13,0,0,0,0
60666,29,13,0,0,0,0
60666,26,13,0,0,0,0
60666,36,14,0,0,0,0
60666,32,13,0,0,0,0
60602,41,499,40112.5,3,241.2,1244
60602,42,499,40112.5,3,241.2,1244
60602,43,499,40112.5,3,241.2,1244
60602,44,499,40112.5,3,241.2,1244
60602,45,499,40112.5,3,241.2,1244
60602,46,501,40273.3,3,241.2,1244
60602,47,501,40273.3,3,241.2,1244
60602,48,503,40434.1,3,241.2,1244
60602,49,503,40434.1,3,241.2,1244
60602,5,474,38102.9,3,241.2,1244
60602,50,504,40514.5,3,241.2,1244
60602,51,505,40594.9,3,241.2,1244
60602,52,506,40675.2,3,241.2,1244
60602,6,475,38183.3,3,241.2,1244
60602,7,476,38263.7,3,241.2,1244
60602,8,477,38344.1,3,241.2,1244
60602,9,479,38504.8,3,241.2,1244
60603,13,,,0,0,1174
60603,12,,,0,0,1174
60603,11,,,0,0,1174
60603,10,,,0,0,1174
60607,17,9692,32753.2,20,67.6,29591
60610,25,11340,29062.8,59,151.2,39019
60610,26,11345,29075.6,59,151.2,39019
60610,27,11354,29098.6,59,151.2,39019
60610,28,11357,29106.3,59,151.2,39019
60610,29,11367,29132,59,151.2,39019
60610,30,11381,29167.8,59,151.2,39019
60612,18,10577,30826.8,109,317.7,34311
60610,17,12129,31084.9,65,166.6,39019
60605,16,8042,29223.4,16,58.1,27519
60605,17,8044,29230.7,16,58.1,27519
60612,19,10595,30879.3,109,317.7,34311
60612,20,10602,30899.7,109,317.7,34311
60612,21,10605,30908.5,109,317.7,34311
60612,22,10612,30928.9,109,317.7,34311
60612,23,10622,30958,109,317.7,34311
60612,25,10638,31004.6,109,317.7,34311
60612,37,10785,31433.1,109,317.7,34311
60612,41,10838,31587.5,109,317.7,34311
60612,43,10861,31654.6,109,317.7,34311
60612,44,10876,31698.3,109,317.7,34311
60612,45,10888,31733.3,109,317.7,34311
60612,46,10911,31800.3,109,317.7,34311
60612,47,10929,31852.8,109,317.7,34311
60612,48,10956,31931.5,109,317.7,34311
60612,49,10987,32021.8,109,317.7,34311
60612,50,11012,32094.7,109,317.7,34311
60612,51,11059,32231.6,109,317.7,34311
60616,16,12389,22747.1,143,262.6,54464
60616,17,12413,22791.2,143,262.6,54464
60616,2,11961,21961.3,140,257.1,54464
60612,17,11286,32893.2,111,323.5,34311
60615,41,10249,24659,79,190.1,41563
60615,42,10260,24685.4,79,190.1,41563
60615,43,10270,24709.5,79,190.1,41563
60615,44,10282,24738.3,79,190.1,41563
60615,17,10667,25664.7,81,194.9,41563
60616,45,12771,23448.5,144,264.4,54464
60616,51,12942,23762.5,144,264.4,54464
60616,16,13155,24153.6,149,273.6,54464
60616,17,13158,24159.1,149,273.6,54464
60617,23,20548,24896.4,255,309,82534
60619,34,15395,25131.4,240,391.8,61258
60619,35,15426,25182,240,391.8,61258
60619,36,15457,25232.6,240,391.8,61258
60620,17,17890,26271.7,307,450.8,68096
60621,37,7554,26010.6,154,530.3,29042
60621,39,7577,26089.8,154,530.3,29042
60621,40,7587,26124.2,154,530.3,29042
60621,41,7591,26138,154,530.3,29042
60621,42,7597,26158.7,154,530.3,29042
60621,43,7605,26186.2,154,530.3,29042
60621,44,7609,26200,154,530.3,29042
60621,45,7631,26275.7,154,530.3,29042
60621,46,7646,26327.4,154,530.3,29042
60621,47,7662,26382.5,154,530.3,29042
60621,48,7683,26454.8,154,530.3,29042
60621,49,7709,26544.3,154,530.3,29042
60621,50,7744,26664.8,154,530.3,29042
60624,49,8870,24531.2,117,323.6,36158
60624,50,8941,24727.6,117,323.6,36158
60624,51,8994,24874.2,117,323.6,36158
60624,52,9033,24982,118,326.3,36158
60624,17,9570,26467.2,118,326.3,36158
60624,18,9591,26525.3,118,326.3,36158
60624,23,9641,26663.5,119,329.1,36158
60624,24,9647,26680.1,119,329.1,36158
60624,25,9657,26707.8,119,329.1,36158
60624,26,9661,26718.8,119,329.1,36158
